sep=,
"Date","Jour","Entrees","Sorties"
"01/01/2020 00:00","mercredi",0,0
"01/01/2020 00:30","mercredi",0,0
"01/01/2020 01:00","mercredi",0,0
"01/01/2020 01:30","mercredi",0,0
"01/01/2020 02:00","mercredi",0,0
"01/01/2020 02:30","mercredi",0,0
"01/01/2020 03:00","mercredi",0,0
"01/01/2020 03:30","mercredi",0,0
"01/01/2020 04:00","mercredi",0,0
"01/01/2020 04:30","mercredi",0,0
"01/01/2020 05:00","mercredi",0,0
"01/01/2020 05:30","mercredi",0,0
"01/01/2020 06:00","mercredi",0,0
"01/01/2020 06:30","mercredi",0,0
"01/01/2020 07:00","mercredi",0,0
"01/01/2020 07:30","mercredi",0,0
"01/01/2020 08:00","mercredi",0,0
"01/01/2020 08:30","mercredi",0,0
"01/01/2020 09:00","mercredi",0,0
"01/01/2020 09:30","mercredi",0,0
"01/01/2020 10:00","mercredi",0,0
"01/01/2020 10:30","mercredi",0,0
"01/01/2020 11:00","mercredi",0,0
"01/01/2020 11:30","mercredi",0,0
"01/01/2020 12:00","mercredi",0,0
"01/01/2020 12:30","mercredi",0,0
"01/01/2020 13:00","mercredi",0,0
"01/01/2020 13:30","mercredi",0,0
"01/01/2020 14:00","mercredi",0,0
"01/01/2020 14:30","mercredi",0,0
"01/01/2020 15:00","mercredi",0,0
"01/01/2020 15:30","mercredi",0,0
"01/01/2020 16:00","mercredi",0,0
"01/01/2020 16:30","mercredi",0,0
"01/01/2020 17:00","mercredi",0,0
"01/01/2020 17:30","mercredi",0,0
"01/01/2020 18:00","mercredi",0,0
"01/01/2020 18:30","mercredi",0,0
"01/01/2020 19:00","mercredi",0,0
"01/01/2020 19:30","mercredi",0,0
"01/01/2020 20:00","mercredi",0,0
"01/01/2020 20:30","mercredi",0,0
"01/01/2020 21:00","mercredi",0,0
"01/01/2020 21:30","mercredi",0,0
"01/01/2020 22:00","mercredi",0,0
"01/01/2020 22:30","mercredi",0,0
"01/01/2020 23:00","mercredi",0,0
"01/01/2020 23:30","mercredi",0,0
"02/01/2020 00:00","jeudi",0,0
"02/01/2020 00:30","jeudi",0,0
"02/01/2020 01:00","jeudi",0,0
"02/01/2020 01:30","jeudi",0,0
"02/01/2020 02:00","jeudi",0,0
"02/01/2020 02:30","jeudi",0,0
"02/01/2020 03:00","jeudi",0,0
"02/01/2020 03:30","jeudi",0,0
"02/01/2020 04:00","jeudi",0,0
"02/01/2020 04:30","jeudi",0,0
"02/01/2020 05:00","jeudi",0,0
"02/01/2020 05:30","jeudi",0,0
"02/01/2020 06:00","jeudi",0,0
"02/01/2020 06:30","jeudi",0,0
"02/01/2020 07:00","jeudi",0,0
"02/01/2020 07:30","jeudi",0,0
"02/01/2020 08:00","jeudi",0,0
"02/01/2020 08:30","jeudi",0,0
"02/01/2020 09:00","jeudi",21,3
"02/01/2020 09:30","jeudi",11,4
"02/01/2020 10:00","jeudi",20,8
"02/01/2020 10:30","jeudi",22,7
"02/01/2020 11:00","jeudi",33,23
"02/01/2020 11:30","jeudi",21,18
"02/01/2020 12:00","jeudi",11,26
"02/01/2020 12:30","jeudi",16,32
"02/01/2020 13:00","jeudi",21,21
"02/01/2020 13:30","jeudi",26,14
"02/01/2020 14:00","jeudi",36,22
"02/01/2020 14:30","jeudi",35,11
"02/01/2020 15:00","jeudi",47,33
"02/01/2020 15:30","jeudi",43,37
"02/01/2020 16:00","jeudi",39,40
